occupation,translated_occupation,label
Musikalienhändler,Music dealer,Arts & Culture
Musikdirektor,Music director,Arts & Culture
Musikhistoriker,Music historian,"Academics & Humanities, Arts & Culture"
Musikjournalist,Music journalist,Arts & Culture
Musikbibliothekar,Music librarian,"Academics & Humanities, Arts & Culture"
Musikmanager,Music manager,Arts & Culture
Musikveranstalter,Music organizer,Arts & Culture
Musikproduzent,Music producer,Arts & Culture
Musikpublizist,Music publicist,Arts & Culture
Musikverleger,Music publisher,Arts & Culture
Musikverlag,Music publisher,Arts & Culture
Musikpädagoge,Music teacher,Arts & Culture
Musiklehrer,Music teacher,Arts & Culture
Musiktheoretiker,Music theorist,Arts & Culture
Musiktherapeut,Music therapist,"Health & Medicine, Art & Culture"
Musikvideoregisseur,Music video director,Arts & Culture
Musikschriftsteller,Music writer,Arts & Culture
Musical-Komponist,Musical composer,Arts & Culture
Musikinstrumentenbauer,Musical instrument maker,Arts & Culture
Musicaldarsteller,Musical performer,Arts & Culture
Musiker,Musician,Arts & Culture
Musikwissenschaftler,Musicologist,Arts & Culture
Mykologe,Mycologist,STEM
Myriapodologe,Myriapodologist,STEM
Myrmekologe,Myrmecologist,STEM
Mystiker,Mystic,Religion & Philosophy
Mythograph,Mythograph,Academics & Humanities
Nagelschmied,Nailsmith,Business & Economics
Kindermädchen,Nanny,Health & Medicine
Erzähler,Narrator,Arts & Culture
NASCAR-Teambesitzer,NASCAR team owner,Sports
Landesvorstand,National board,Governance & Society
Nationaltrainer,National coach,Sports
Bundestrainer,National coach,Sports
Nationaler Erwecker,National revivalist,Governance & Society
Landesposaunenwart,National trombone director,Arts & Culture
Naturwissenschaftler,Natural scientist,STEM
Naturbahnrodler,Natural track luge,Sports
Naturschutz,Nature conservation,STEM
Naturfotograf,Nature photographer,Arts & Culture
Nautischer Offizier,Nautical officer,Governance & Society
Schiffbauingenieur,Naval architect,STEM
Schiffsarchitekt,Naval architect,STEM
Marineoffizier,Naval officer,Governance & Society
Navigator,Navigator,Business & Economics
Nazi,Nazi,Governance & Society
Unteroffizier,NCO,Governance & Society
Vorderasiatischer Archäologe,Near Eastern archaeologist,Academics & Humanities
Nematologe,Nematologist,STEM
Neogräzist,Neo-Grecist,Academics & Humanities
Neonatologe,Neonatologist,Health & Medicine
Nephrologe,Nephrologist,Health & Medicine
Netzwerkadministrator,Network administrator,STEM
Neurobiologe,Neurobiologist,STEM
Neurologe,Neurologist,Health & Medicine
Neuropharmakologe,Neuropharmacologist,Health & Medicine
Neurophysiologe,Neurophysiologist,STEM
Neuropsychologe,Neuropsychologist,STEM
Neurowissenschaftler,Neuroscientist,STEM
Neuphilologe,New philologist,Academics & Humanities
Neulehrer,New teacher,Academics & Humanities
Neutestamentliche Bibelwissenschaft,New Testament Biblical Studies,Religion & Philosophy
Neutestamentler,New Testament scholars,Religion & Philosophy
Nachrichtendirektor,News Director,Governance & Society
Zeitungsredakteur,Newspaper editor,Arts & Culture
Zeitungsverleger,Newspaper publisher,Arts & Culture
Zeitungsverlag,Newspaper publisher,Arts & Culture
Zeitungswissenschaftler,Newspaper scientist,STEM
Nachrichtensprecher,Newsreader,Arts & Culture
Nachtwächter,Night watchman,Governance & Society
Nachtclubbesitzer,Nightclub owner,Business & Economics
No occupation found,No occupation found,Unconventional & Misc
Nobelpreisträger,Nobel laureate,Academics & Humanities
Sachbuchautor,Non-fiction author,Arts & Culture
Nordischer Kombinierer,Nordic Combined,Sports
Notaphilie,Notaphilia,Academics & Humanities
Notar,Notary,Law
Romancier,Novelist,Arts & Culture
Novizenmeister,Novice Master,Religion & Philosophy
NS-Abteilungsleiter,NS department head,Business & Economics
Nuklearmediziner,Nuclear medicine specialist,Health & Medicine
Kernphysiker,Nuclear physicist,STEM
Aktmodell,Nude model,Arts & Culture
Numismatiker,Numismatist,Arts & Culture
Nonne,Nun,Religion & Philosophy
Krankenpfleger,Nurse,Health & Medicine
Pflegewissenschaftler,Nursing scientist,STEM
Ernährungswissenschaftler,Nutritionist,Health & Medicine
Objektkünstler,Object artist,Arts & Culture
Oboist,Oboist,Arts & Culture
Hindernisläufer,Obstacle runner,Sports
Geburtshelfer,Obstetrician,Health & Medicine
Okkultist,Occultist,Religion & Philosophy
Ergotherapeut,Occupational therapist,Health & Medicine
Ozeanruderer,Ocean rower,Sports
Meereskundler,Oceanographer,STEM
Odonatologe,Odonatologist,STEM
Önologe,Oenologist,Arts & Culture
Bürohilfsarbeiter,Office assistant,Business & Economics
Bürokaufmann,Office clerk,Business & Economics
Büromaschinenmechaniker,Office machine mechanic,STEM
Bürovorsteher,Office manager,Business & Economics
Büroleiter,Office manager,Business & Economics
Bürokraft,Office worker,Business & Economics
Büroangestellter,Office worker,Business & Economics
Offizier,Officer,Governance & Society
Offizier (Deutschland),Officer (Germany),Governance & Society
Offizier im Generalstabsdienst,Officer in the General Staff Service,Governance & Society
Amtsträger,Officers,Governance & Society
Offizieller,Official,Governance & Society
Amtstierarzt,Official veterinarian,Health & Medicine
Off-Sprecher,Off-speaker,Arts & Culture
Altgermanist,Old Germanist,Academics & Humanities
Alttestamentler,Old Testament scholars,Religion & Philosophy
Olympiateilnehmer,Olympic participant,Sports
Onkologe,Oncologist,Health & Medicine
Einjährig-Freiwilliger,One-year volunteer,Governance & Society
Onomastiker,Onomastics,Academics & Humanities
Oologe,Oologist,STEM
Opernkomponist,Opera composer,Arts & Culture
Opernregisseur,Opera director,Arts & Culture
Operndirektor,Opera director,Arts & Culture
Opernsänger,Opera singer,Arts & Culture
Betriebsleiter,Operations manager,Business & Economics
Operettensänger,Operetta singer,Arts & Culture
Augenoptiker,Optician,Health & Medicine
Optiker,Optician,Health & Medicine
Orakel,Oracle,Religion & Philosophy
Kiefer- und Gesichtschirurg,Oral and maxillofacial surgeon,Health & Medicine
Orchestermusiker,Orchestra musician,Arts & Culture
Ordonnanzoffizier,Orderly officer,Governance & Society
Ordination,Ordination,Religion & Philosophy
Orgelbauer,Organ builder,Arts & Culture
Orgelsachverständiger,Organ expert,Arts & Culture
organischer Chemiker,organic chemist,STEM
Organist,Organist,Arts & Culture
Veranstalter,Organizer,Law
Organisator,Organizer,Business & Economics
Orientarchäologe,Oriental archaeologist,Academics & Humanities
Orientalist,Orientalist,Academics & Humanities
Orientierungsläufer,Orienteer,Sports
Ornithologe,Ornithologist,STEM
Kieferorthopäde,Orthodontist,Health & Medicine
orthodoxer Mönch,Orthodox monk,Religion & Philosophy
orthodoxer Priester,Orthodox priest,Religion & Philosophy
Orthopädischer Chirurg,Orthopedic surgeon,Health & Medicine
Orthopäde,Orthopedist,Health & Medicine
Ostrakodologe,Ostracodologist,STEM
Otologe,Otologist,Health & Medicine
Oud-Spieler,Oud player,Arts & Culture
Schrittmacher,Pacemaker,Health & Medicine
Pazifist,Pacifist,Governance & Society
Paidagogos,Paidagogos,Academics & Humanities
Maler,Painter,Arts & Culture
Kunstmaler,Painter,Arts & Culture
Maler und Lackierer,Painters and varnishers,Arts & Culture
Paläoanthropologe,Paleoanthropologist,STEM
Paläobiologe,Paleobiologist,STEM
Paläobotaniker,Paleobotanist,STEM
Paläoklimatologe,Paleoclimatologist,STEM
Paläoökologe,Paleoecologist,STEM
Paläoentomologe,Paleoentomologist,STEM
Paläograf,Paleographer,Academics & Humanities
Paläoichthyologe,Paleoichthyologist,STEM
Paläontologe,Paleontologist,STEM
Paläozoologe,Paleozoologist,STEM
Palliativmedizin,Palliative medicine,Health & Medicine
Palynologe,Palynologist,STEM
Pantomime,Pantomime,Arts & Culture
Papieringenieur,Paper engineer,STEM
Papierhistoriker,Paper historian,Academics & Humanities
Papiertechnologe,Paper technologist,STEM
Papyrologe,Papyrologist,Academics & Humanities
Paracelsist,Paracelsis,Religion & Philosophy
Fallschirmspringer,Parachutist,Sports
Paracycler,Paracycler,Sports
Gleitschirmpilot,Paraglider pilot,Sports
Rechtsanwaltsfachangestellter,Paralegal,Law
Rechtsanwaltsgehilfe,Paralegal,Law
Paralympics-Athlet,Paralympics athlete,Sports
Paramedic,Paramedic,Health & Medicine
Rettungsassistent,Paramedic,Health & Medicine
Rettungssanitäter,Paramedic,Health & Medicine
Paramilitär,Paramilitary,Governance & Society
Parapsychologe,Parapsychologist,Health & Medicine
Parasitologe,Parasitologist,STEM
Fallschirmjäger,Paratroopers,Governance & Society
Pfarrverweser,Parish administrator,Religion & Philosophy
Pfarradministrator,Parish administrator,Religion & Philosophy
Pfarrvikar,Parish Vicar,Religion & Philosophy
Parlier,Parlier,Governance & Society
Altersteilzeit,Partial retirement,Unconventional & Misc
Teilchenphysiker,Particle physicist,STEM
Partisan,Partisan,Governance & Society
Parteivorsitzender,Party Chairman,Governance & Society
Parteifunktionär,Party functionary,Governance & Society
Parteisekretär,Party Secretary,Governance & Society
Parömiologe,Parömiologist,Academics & Humanities
Beifahrer,Passenger,Business & Economics
Pastell-Maler,Pastel painter,Arts & Culture
Pfarrer,Pastor,Religion & Philosophy
Pastor,Pastor,Religion & Philosophy
Pastoralreferent,Pastoral counselor,Religion & Philosophy
Pfarrersfrau,Pastor's wife,Religion & Philosophy
Patentanwalt,Patent attorney,Law
Pathologe,Pathologist,Health & Medicine
Pathophysiologe,Pathophysiologist,Health & Medicine
Patissier,Patissier,Arts & Culture
Patristiker,Patristics,Religion & Philosophy
Mäzen,Patron,Religion & Philosophy
Schirmherr,Patron,Arts & Culture
Nutzlastspezialist,Payload specialist,STEM
Zahlmeister,Paymaster,Business & Economics
Friedensaktivist,Peace activist,Governance & Society
Friedensbewegung,Peace movement,Governance & Society
Friedensforscher,Peace researcher,"Academics & Humanities, Governance & Society"
Hausierer,Peddler,Business & Economics
Pedell,Pedell,Governance & Society
Fußgänger,Pedestrian,Unconventional & Misc
Kinderkrankenschwester,Pediatric nurse,Health & Medicine
Kinderchirurg,Pediatric surgeon,Health & Medicine
Kinderarzt,Pediatrician,Health & Medicine
Pädokriminalität,Pedocriminality,Unconventional & Misc
Pedologe,Pedologist,STEM
Fünfkämpfer,Pentathlete,Sports
Schlagzeuger,Percussionist,Arts & Culture
Perkussionist,Percussionist,Arts & Culture
Performancekünstler,Performance artist,Arts & Culture
Interpret,Performer,Arts & Culture
darstellender Künstler,performing artist,Arts & Culture
darstellende Kunst,performing arts,Arts & Culture
Parfümeur,Perfumer,Arts & Culture
Permakultur,Permaculture,STEM
beamteter Staatssekretär,Permanent State Secretary,Governance & Society
Person des Sports,Person of the sport,Sports
persönlicher Modestylist,personal fashion stylist,Arts & Culture
Leibarzt,Personal physician,Health & Medicine
Personal Trainer,Personal Trainer,Sports
Persönlichkeit der Gesellschaft,Personality of the company,Business & Economics
Personalfachkaufmann,Personnel specialist,Business & Economics
Pesäpallo-Spieler,Pesäpallo player,Sports
Petrologe,Petrologist,STEM
Pharmaziehistoriker,Pharmaceutical historian,Academics & Humanities
Apotheker,Pharmacist,Health & Medicine
Pharmazeut,Pharmacist,Health & Medicine
Pharmakologe,Pharmacologist,Health & Medicine
Phänomenologe,Phenomenologist,Academics & Humanities
Philanthrop,Philanthropist,Governance & Society
Philatelist,Philatelist,Arts & Culture
Philokartist,Philocartist,Arts & Culture
Philologe,Philologist,Academics & Humanities
Philosoph,Philosopher,Academics & Humanities
Geschichtsphilosoph,Philosopher of history,Academics & Humanities
Sprachphilosoph,Philosopher of language,Academics & Humanities
Rechtsphilosoph,Philosopher of law,Academics & Humanities
Phlebologe,Phlebologist,Health & Medicine
Phonetiker,Phonetician,Academics & Humanities
Phonologe,Phonologist,Academics & Humanities
Foto-Künstler,Photo artist,Arts & Culture
Fotosammler,Photo collector,Arts & Culture
Fotomodel,Photo model,Arts & Culture
Photogrammeter,Photogrammetrist,Arts & Culture
Fotograf,Photographer,Arts & Culture
Fotografiker,Photographer,Arts & Culture
Fotografiehistoriker,Photography historian,Academics & Humanities
Fotojournalist,Photojournalist,Arts & Culture
Physiater,Physiatrist,Health & Medicine
Physikochemiker,Physical chemist,STEM
Physiker,Physicist,STEM
Physikingenieur,Physics engineer,STEM
Physiklehrer,Physics teacher,Academics & Humanities
Physiogeograph,Physiogeographer,Unconventional & Misc
Physiologe,Physiologist,Health & Medicine
Physiotherapeut,Physiotherapist,Health & Medicine
Phytomediziner,Phytomedicine,Health & Medicine
Phytopathologe,Phytopathologist,STEM
Pianist,Pianist,Arts & Culture
Klavier- und Cembalobauer,Piano and harpsichord maker,Arts & Culture
Klavierlehrer,Piano teacher,Arts & Culture
Klavierstimmer,Piano tuner,Arts & Culture
Bildredakteur,Picture editor,Arts & Culture
Stückgießer,Piece caster,STEM
Pietist,Pietist,Religion & Philosophy
Pilger,Pilgrim,Religion & Philosophy
Pilot,Pilot,Governance & Society
Zuhälter,Pimp,Business & Economics
Pionier,Pioneer,Governance & Society
Pionierte,Pioneers,Governance & Society
Pflanzenzüchter,Plant breeder,STEM
Pflanzenökologe,Plant ecologist,STEM
Pflanzenjäger,Plant hunter,Arts & Culture
Anlagenmechaniker,Plant mechanic,STEM
Anlagenmechaniker für Sanitär-,Plant mechanic for sanitary,STEM
Pflanzenphysiologe,Plant physiologist,STEM
Plantagenbesitzer,Plantation owner,Business & Economics
Stuckateur,Plasterer,Arts & Culture
Schönheitschirurg,Plastic surgeon,Health & Medicine
Spielervermittler,Player agent,Sports
Playmate,Playmate,Arts & Culture
Dramatiker,Playwright,Arts & Culture
Bühnenautor,Playwright,Arts & Culture
Installateur,Plumber,Business & Economics
Podcaster,Podcaster,Arts & Culture
Dichter,Poet,Arts & Culture
Dichterarzt,Poet doctor,Arts & Culture
Dichterjurist,Poet-lawyer,"Law, Arts & Culture"
Pokerspieler,Poker player,Sports
Polarforscher,Polar explorer,STEM
Stabhochspringer,Pole vaulter,Sports
Polizei,Police,Governance & Society
Polizeihauptmeister,Police chief,Governance & Society
Polizeidirektor,Police Director,Governance & Society
Polizeibeamter,Police officer,Governance & Society
Polizeivollzugsbeamter,Police officer,Governance & Society
Polizei- bzw. Kriminalobermeister,Police or criminal superintendent,Governance & Society
Polizeisergeant,Police sergeant,Governance & Society
Polizist,Policeman,Governance & Society
Polier,Polisher,STEM
politischer Aktivist,political activist,Governance & Society
Politikberater,Political advisor,Governance & Society
politischer Berater,political advisor,Governance & Society
politischer Analyst,political analyst,Governance & Society
politischer Kommentator,political commentator,Governance & Society
Politischer Botschaftsrat,Political Counselor,Governance & Society
Politoffizier,Political officer,Governance & Society
politischer Beamter,political official,Governance & Society
politischer Gefangener,political prisoner,Governance & Society
Politikwissenschaftler,Political scientist,Governance & Society
Staatswissenschaftler,Political scientist,Governance & Society
politischer Theoretiker,political theorist,Governance & Society
politischer Schriftsteller,political writer,Arts & Culture
Politiker,Politicians,Governance & Society
Polospieler,Polo player,Sports
Polonist,Polonist,Academics & Humanities
Polyglott,Polyglot,Academics & Humanities
Universalgelehrter,polymath,"STEM, Academics & Humanities"
Polymerchemiker,Polymer chemist,STEM
Pomologe,Pomologist,STEM
Poolbillardspieler,Pool players,Sports
Popmusiker,Pop musician,Arts & Culture
Popsänger,Pop singer,Arts & Culture
Schlagersänger,Pop singer,Arts & Culture
Pop Singer,Pop Singer,Arts & Culture
Volksschauspieler,Popular actor,Arts & Culture
Porzellankünstler,Porcelain artist,Arts & Culture
Porzellanmaler,Porcelain painter,Arts & Culture
Pornodarsteller,Porn actor,Arts & Culture
Pornofilmregisseur,Porn movie director,Arts & Culture
Portier,Porter,Business & Economics
Porträtmaler,Portrait painter,Arts & Culture
Porträtfotograf,Portrait photographer,Arts & Culture
Porträtist,Portraitist,Arts & Culture
Posthalter,Post holder,"Governance & Society, Business & Economics"
Postbeamter,Postal clerk,Governance & Society
Postangestellter,Postal employee,Governance & Society
Postkartenverleger,Postcard publisher,Arts & Culture
Plakatkünstler,Poster artist,Arts & Culture
Postmeister,Postmaster,Governance & Society
Töpfer,Potter,Arts & Culture
Töpferwarenmaler,Pottery painter,Arts & Culture
Geflügelwissenschaftler,Poultry scientist,STEM
Poussierer,Poussier,Business & Economics
Kraftdreikämpfer,Powerlifter,Sports
PR-Berater,PR consultant,Business & Economics
PR-Manager,PR Manager,Business & Economics
Prediger,Preacher,Religion & Philosophy
Feinmechaniker,Precision mechanic,STEM
Feinoptiker,Precision optician,Health & Medicine
Prähistoriker,Prehistorian,Academics & Humanities
Prälat,Prelate,Religion & Philosophy
Presbyter,Presbyter,Religion & Philosophy
Präses,President,Governance & Society
Staatspräsident,President,Governance & Society
Präsident,President,Governance & Society
Präsident der Stiftung Weltethos,President of the Global Ethic Foundation,Governance & Society
vorsitzender Richter,presiding judge,Law
Presseagent,Press agent,Governance & Society
Pressezeichner,Press illustrator,Arts & Culture
Pressereferent,Press officer,Governance & Society
Pressesprecher,Press spokesman,Governance & Society
Thronprätendent,Pretender to the throne,Governance & Society
Priester,Priest,Religion & Philosophy
Grundschullehrer,Primary school teacher,Academics & Humanities
Primatologe,Primatologist,STEM
Schulleiter,Principal,Governance & Society
Drucker,Printer,Arts & Culture
Druckgrafiker,Printmaker,Arts & Culture
Prior,Prior,Unconventional & Misc
Gefängnisseelsorge,Prison chaplaincy,Religion & Philosophy
Gefangener,Prisoner,Governance & Society
Häftlingsarzt,Prisoner doctor,Health & Medicine
Privatbank,Private bank,Business & Economics
Privatdetektiv,Private detective,Governance & Society
Privatdozent,Private lecturer,Academics & Humanities
Privatgelehrter,Private scholar,Academics & Humanities
Privatier,Privateer,Business & Economics
Hofrat,Privy Councillor,Governance & Society
Geheimer Justizrat,Privy Councillor of Justice,Governance & Society
Geheimer Medizinalrat,Privy Medical Council,Health & Medicine
Richter auf Probe,Probationary judge,Law
Prozessleitelektroniker,Process control electronics technician,STEM
Verfahrensingenieur,Process engineer,STEM
Prokura,Procuration,Business & Economics
Produzent,Producer,Arts & Culture
Produktmanager,Product Manager,Business & Economics
Szenenbild,Production design,Arts & Culture
Szenenbildner,Production designer,Arts & Culture
Produktionsleiter,Production manager,Business & Economics
Herstellungsleiter,Production manager,Business & Economics
Tonmeister der Produktion,Production sound engineer,STEM
Professeur des Universités,Professeur des Universités,Academics & Humanities
Profisportler,Professional athlete,Sports
professioneller Computerspieler,professional computer gamer,Sports
Berufsgolfer,Professional golfer,Sports
Berufsfotograf,Professional photographer,Arts & Culture
Berufssoldat,Professional soldier,Governance & Society
Profi-Wrestler,Professional wrestler,Sports
Professor,Professor,Academics & Humanities
Staatsrechtslehrer,Professor of constitutional law,Law
Professor der Rechtswissenschaften,Professor of Law,Academics & Humanities
Professor für Mathematik,Professor of Mathematics,"Academics & Humanities, STEM"
Professor für Musikkomposition,Professor of Music Composition,Academics & Humanities
Professor für Psychologie,Professor of Psychology,Academics & Humanities
Programmdirektor,Program Director,Arts & Culture
Programmsprecher,Program speaker,Arts & Culture
Programmierer,Programmer,STEM
Projektleiter,Project manager,Business & Economics
Filmvorführer,Projectionist,Arts & Culture
Promyschlennik,Promyslennik,STEM
Lektor,Proofreader,Arts & Culture
Korrektor,Proofreader,Arts & Culture
Requisiteur,Prop master,Arts & Culture
Propagandist,Propagandist,Governance & Society
Bauträger,Property developer,Unconventional & Misc
Hausverwalter,Property manager,Business & Economics
Grundstücksbewertung,Property valuation,Unconventional & Misc
Prophet,Prophet,Religion & Philosophy
Prosaist,Prose writer,Arts & Culture
Prosektor,Prosector,Health & Medicine
Prostituierter,Prostitute,Business & Economics
Protestantischer Militärkaplan,Protestant military chaplain,Governance & Society
evangelischer Theologe,Protestant theologian,Religion & Philosophy
Protistologe,Protistologist,STEM
Protonotarius,Protonotary,Law
Provenienzforscher,Provenance researcher,Academics & Humanities
Landesrat,Provincial Council,Governance & Society
Provinzialrömischer Archäologe,Provincial Roman archaeologist,Governance & Society
Provinzialrömische Archäologie,Provincial Roman Archaeology,Governance & Society
Provisor,Provisional,Health & Medicine
Propst,Provost,Religion & Philosophy
président d'université,président d'université,Academics & Humanities
Psychiater,Psychiatrist,Health & Medicine
Psychoanalytiker,Psychoanalyst,Health & Medicine
Psycholinguist,Psycholinguist,Academics & Humanities
psychologischer Psychotherapeut,Psychological psychotherapist,Health & Medicine
Psychologe,Psychologist,Health & Medicine
Psychomotorik,Psychomotricity,Academics & Humanities
Psychotherapeut,Psychotherapist,Health & Medicine
Pteridologe,Pteridologist,STEM
Person des öffentlichen Lebens,Public figure,Governance & Society
Staatsanwalt,Public prosecutor,Law
öffentlicher Schreiber,public writer,Arts & Culture
Publizist,Publicist,Arts & Culture
Öffentlich bestellter Vermessungsingenieur,Publicly appointed surveyor,Governance & Society
Herausgeber,Publisher,Arts & Culture
Verleger,Publisher,Arts & Culture
Verlagsbuchhändler,Publishing bookseller,"Arts & Culture, Business & Economics"
Verlagskaufmann/-frau,Publishing clerk,Business & Economics
Verlagslektor,Publishing editor,Arts & Culture
Pneumologe,Pulmonologist,Health & Medicine
puppenfilmregisseur,puppet movie director,Arts & Culture
Puppenspieler,Puppeteer,Arts & Culture
Pyrotechniker,Pyrotechnician,STEM
Quantenphysiker,Quantum physicist,STEM
Königin,Queen,Governance & Society
Quizspieler,Quiz player,Sports
Rabbiner,Rabbi,Religion & Philosophy
Rennfahrer,Racer,Sports
Rassenhygieniker,Racial hygienist,Academics & Humanities
Rassentheoretiker,Racial theorist,Academics & Humanities
Strahlenbiologe,Radiation biologist,STEM
Funkamateur,Radio amateur,Arts & Culture
Radio- und Fernsehtechniker,Radio and television technician,Arts & Culture
Radio-DJ,Radio DJ,Arts & Culture
Radioredakteur,Radio editor,Arts & Culture
Hörfunkjournalist,Radio journalist,Arts & Culture
Funker,Radio operator,Arts & Culture
Hörspielautor,Radio play author,Arts & Culture
Hörspielregisseur,Radio play director,Arts & Culture
Hörspielsprecher,Radio play speaker,Arts & Culture
Hörfunkmoderator,Radio presenter,Arts & Culture
Rundfunkmoderator,Radio presenter,Arts & Culture
Hörfunkproduzent,Radio producer,Arts & Culture
Radiologe,Radiologist,Health & Medicine
Radioonkologe,Radiooncologist,Health & Medicine
Strahlentherapeut,Radiotherapist,Health & Medicine
Lumpensammler,Rag collector,Business & Economics
Eisenbahn-Assistent,Railroad assistant,Business & Economics
Eisenbahnbauinspektor,Railroad construction inspector,Business & Economics
Eisenbahningenieur,Railroad engineer,STEM
Eisenbahnhistoriker,Railroad historian,Academics & Humanities
Eisenbahnfotograf,Railroad photographer,Arts & Culture
Eisenbahner,Railwayman,Business & Economics
Regens,Rain,Religion & Philosophy
Rallyefahrer,Rally driver,Sports
Rapper,Rapper,Arts & Culture
Berichterstatter,Rapporteur,Governance & Society
Immobilienmakler,Real estate agent,Business & Economics
Immobilienkaufmann,Real estate agent,Business & Economics
Immobilienunternehmer,Real estate entrepreneur,Business & Economics
Reality-TV-Teilnehmer,Reality TV participants,Arts & Culture
Konteradmiral,Rear Admiral,Governance & Society
Rechtspfleger,Rechtspfleger,Governance & Society
Rezitator,Reciter,Arts & Culture
Schreiber,Recorder,Academics & Humanities
Blockflötist,Recorder player,Arts & Culture
Aufnahmekünstler,Recording artist,Arts & Culture
Aufnahmeleiter,Recording manager,Arts & Culture
Rekrutierer,Recruiter,Business & Economics
Konrektor,Rector,Academics & Humanities
Schiedsrichter,Referee,Sports
Kampfrichter,Referee,Sports
Schiedsrichter im Tennis,Referee in tennis,Sports
Reformator,Reformer,Governance & Society
Regentschaft,Regency,Governance & Society
Regionalbischof,Regional Bishop,Religion & Philosophy
Landeskirchenmusikdirektor,Regional Church Music Director,Religion & Philosophy
Landeskirchenamt Hannover,Regional Church Office Hanover,Religion & Philosophy
Regionalhistoriker,Regional historian,Academics & Humanities
Landessuperintendent der Lippischen Landeskirche,Regional Superintendent of the Lippe Regional Church,Governance & Society
Regularkanoniker,Regular canon,Religion & Philosophy
Reichsstatthalter,Reich Governor,Governance & Society
Reichsführer SS,Reichsführer SS,Governance & Society
Einsatzstab Reichsleiter Rosenberg,Reichsleiter Rosenberg task force,Governance & Society
Reichsredner,Reichsredner,Governance & Society
regierende Königin,reigning queen,Governance & Society
Rentier,Reindeer,Business & Economics
Religiöser,Religious,Religion & Philosophy
Ordensangehöriger,Religious,Religion & Philosophy
religiöser Verfasser,religious author,Religion & Philosophy
Religionspädagoge,Religious educator,Academics & Humanities
Religionshistoriker,Religious historian,Academics & Humanities
religiöser Anführer,religious leader,Religion & Philosophy
Ordenspriester,Religious priest,Religion & Philosophy
Religionspsychologe,Religious psychologist,Religion & Philosophy
Ordenskundler,Religious scholar,Religion & Philosophy
Religionswissenschaftler,Religious scientist,Religion & Philosophy
Ordensschwester,Religious sister,Religion & Philosophy
Religionslehrer,Religious teacher,"Religion & Philosophy, Academics & Humanities"
Heilpädagoge,Remedial teacher,Academics & Humanities
Remixer,Remixer,Arts & Culture
Repetent,Repetent,Academics & Humanities
Repetitor,Repetitor,Academics & Humanities
Reporter,Reporter,Arts & Culture
Rettung von Juden während des Holocaust,Rescue of Jews during the Holocaust,Governance & Society
Rettungspersonal,Rescue personnel,Governance & Society
wissenschaftlicher Mitarbeiter,Research assistant,Academics & Humanities
wissenschaftliche Hilfskraft,research assistant,Academics & Humanities
Forschungskosmonaut,Research cosmonaut,Academics & Humanities
Forschungsreisender,Research traveler,Academics & Humanities
Forscher,Researchers,Academics & Humanities
Umsiedler,Resettlers,Governance & Society
Widerstand gegen den Nationalsozialismus in Deutschland,Resistance against National Socialism in Germany,Governance & Society
Widerstandskämpfer,Resistance fighter,Governance & Society
Atemtherapeut,Respiratory therapist,Health & Medicine
Respondent,Respondent,Law
Restaurantfachmann,Restaurant specialist,Arts & Culture
Gastronom,Restaurateur,Arts & Culture
Restaurator,Restorer,Arts & Culture
Kaufmann im Einzelhandel,Retail salesperson,Business & Economics
Einzelhandelsgeschäft,Retail store,Business & Economics
Händler,Retailer,Business & Economics
Einzelhändler,Retailer,Business & Economics
Pensionierung,Retirement,Governance & Society
Ruhestand,Retirement,Governance & Society
Hochwürden,Reverend,Religion & Philosophy
Rezensent,Reviewer,Unconventional & Misc
Revolutionär,Revolutionary,Governance & Society
Nachdichtung,Rewriting,Arts & Culture
Rhetor,Rhetor,Academics & Humanities
Rheumatologe,Rheumatologist,Health & Medicine
rhythmischer Sportgymnast,rhythmic gymnastics,Sports
Reiter,Rider,Sports
Reitlehrer,Riding instructor,Sports
Rechtsradikaler,Right-wing extremist,Governance & Society
Zirkusdirektor,Ringmaster,Arts & Culture
Bereitschaftspolizei,Riot police,Governance & Society
Steiger,riser,STEM
Risikomanager,Risk manager,Business & Economics
Straßenbauer,Road builder,STEM
Straßenradfahrer,Road cyclist,Sports
Räuber,Robber,Unconventional & Misc
Robotiker,Roboticists,STEM
Rock-Schlagzeuger,Rock drummer,Arts & Culture
Rockmusiker,Rock musician,Arts & Culture
Raketenpionier,Rocket pioneer,STEM
Rollenspieldesigner,Role-playing game designer,STEM
Rollhockeyspieler,Roller hockey player,Sports
Römisch-katholischer Bischof,Roman Catholic bishop,Religion & Philosophy
Römisch-katholischer Kleriker,Roman Catholic cleric,Religion & Philosophy
römisch-katholischer Mönch,Roman Catholic monk,Religion & Philosophy
Romanist,Romanist,Academics & Humanities
Dachdecker,Roofer,Business & Economics
Raumplaner,Room planner,Arts & Culture
Rosenzüchter,Rose grower,Business & Economics
Grobschmied,Rough blacksmith,"STEM, Business & Economics"
Ruderer,Rowers,Sports
Rudertrainer,Rowing coach,Sports
Ruder-Wettkampfrichter,Rowing competition judges,Law
Ruderfunktionär,Rowing official,Sports
Royal Consort,Royal Consort,Governance & Society
Rugbyspieler,Rugby player,Sports
Rugby-Union-Spieler,Rugby union players,Sports
Herrscher,Ruler,Governance & Society
Läufer,Runner,Sports
Runologe,Runologist,Academics & Humanities
Russist,Russist,Academics & Humanities
Korrepetitor,Répétiteur,Arts & Culture
Rōshi,Rōshi,Unconventional & Misc
Sattler,Saddler,Business & Economics
